k (SNPs),Observed AUC,95% CI Lower,95% CI Upper,Null Mean AUC,Null Std AUC,p-value (permutation),Significant (p<0.05),CI Excludes 0.50
5,0.5019,0.4684,0.5352,0.4958,0.0067,0.199,NO,NO
10,0.5034,0.4688,0.5375,0.4956,0.0071,0.136,NO,NO
20,0.5035,0.4699,0.537,0.4945,0.0094,0.17,NO,NO
50,0.4992,0.465,0.5347,0.4923,0.0176,0.356,NO,NO
60,0.5233,0.4904,0.5555,0.4936,0.0203,0.063,NO,NO
70,0.5435,0.5092,0.5755,0.4944,0.0216,0.006,YES,YES
80,0.563,0.5297,0.5939,0.4962,0.0221,0.0,YES,YES
90,0.5587,0.5251,0.5881,0.4967,0.022,0.001,YES,YES
100,0.5661,0.5329,0.5983,0.4972,0.0219,0.0,YES,YES
110,0.5623,0.5273,0.5958,0.4987,0.0226,0.001,YES,YES
200,0.5743,0.5414,0.6055,0.4999,0.0233,0.0,YES,YES
